	Ground Truth	Predicted
0	NA	NA
1	NA	NA
2	GO:0000785	GO:0000785
3	NA	NA
4	NA	NA
5	NA	NA
6	NA	NA
7	NA	NA
8	NA	NA
9	NA	NA
10	NA	NA
11	NA	NA
12	NA	NA
13	NA	NA
14	NA	NA
15	NA	NA
16	NA	NA
17	NA	NA
18	NA	NA
19	NA	NA
20	NA	NA
21	NA	NA
22	NA	NA
23	NA	NA
24	NA	NA
25	NA	NA
26	NA	NA
27	NA	NA
28	NA	NA
29	GO:0005694	GO:0005694
30	NA	NA
31	NA	NA
32	NA	NA
33	NA	NA
34	NA	NA
35	NA	NA
36	NA	NA
37	NA	NA
38	NA	NA
39	NA	NA
40	NA	NA
41	NA	NA
42	NA	NA
43	NA	NA
44	NA	NA
45	NA	NA
46	GO:0005737	NA
47	NA	NA
48	NA	NA
49	NA	NA
50	NA	NA
51	NA	NA
52	NA	NA
53	NA	NA
54	NA	NA
55	NA	NA
56	NA	NA
57	NA	NA
58	NA	NA
59	NA	NA
60	NA	NA
61	NA	NA
62	NA	NA
63	NA	NA
64	NA	NA
65	NA	NA
66	NA	NA
67	NA	NA
68	NA	NA
69	NA	NA
70	NA	NA
71	NA	NA
72	NA	NA
73	NA	NA
74	NA	NA
75	NA	NA
76	NA	NA
77	NA	NA
78	NA	NA
79	NA	NA
80	NA	NA
81	NA	NA
82	NA	NA
83	NA	NA
84	NA	NA
85	NA	NA
86	NA	NA
87	NA	NA
88	NA	NA
89	NA	NA
90	NA	NA
91	NA	NA
92	NA	NA
93	NA	NA
94	NA	NA
95	NA	NA
96	NA	NA
97	NA	NA
98	NA	NA
99	NA	NA
100	NA	NA
101	NA	NA
102	NA	NA
103	NA	NA
104	NA	NA
105	NA	NA
106	NA	NA
107	NA	NA
108	NA	NA
109	NA	NA
110	NA	NA
111	NA	NA
112	NA	NA
113	NA	NA
114	NA	NA
115	NA	NA
116	NA	NA
117	NA	NA
118	NA	NA
119	NA	NA
120	NA	NA
121	NA	NA
122	NA	NA
123	NA	NA
124	NA	NA
125	NA	NA
126	NA	NA
127	NA	NA
128	NA	NA
129	NA	NA
130	NA	NA
131	NA	NA
132	NA	NA
133	NA	NA
134	NA	NA
135	NA	NA
136	NA	NA
137	NA	NA
138	NA	NA
139	NA	NA
140	NA	NA
141	NA	NA
142	NA	NA
143	NA	NA
144	NA	NA
145	NA	NA
146	NA	NA
147	NA	NA
148	NA	NA
149	NA	NA
150	NA	NA
151	NA	NA
152	NA	NA
153	NA	NA
154	NA	NA
155	NA	NA
156	NA	NA
157	NA	NA
158	NA	NA
159	NA	NA
160	NA	NA
161	NA	NA
162	NA	NA
163	NA	NA
164	NA	NA
165	NA	NA
166	NA	NA
167	NA	NA
168	NA	NA
169	NA	NA
170	NA	NA
171	NA	NA
172	NA	NA
173	NA	NA
174	NA	NA
175	NA	NA
176	NA	NA
177	NA	NA
178	NA	NA
179	NA	NA
180	NA	NA
181	NA	NA
182	NA	NA
183	NA	NA
184	NA	NA
185	NA	NA
186	NA	NA
187	NA	NA
188	NA	NA
189	NA	NA
190	NA	NA
191	NA	NA
192	NA	NA
193	GO:0019814	GO:0019814
194	NA	NA
195	NA	NA
196	NA	NA
197	NA	NA
198	NA	NA
199	NA	NA
200	NA	NA
201	NA	NA
202	NA	NA
203	NA	NA
204	NA	NA
205	GO:0005783	NA
206	GO:0005783	NA
207	GO:0005783	NA
208	GO:0005783	NA
209	GO:0005783	NA
210	GO:0005783	NA
211	GO:0005783	NA
212	GO:0005783	NA
213	GO:0005783	NA
214	GO:0005783	NA
215	GO:0005783	NA
216	GO:0005783	NA
217	GO:0005783	NA
218	GO:0005783	NA
219	GO:0005783	NA
220	GO:0005783	NA
221	GO:0005783	NA
222	GO:0005783	NA
223	GO:0005783	NA
224	GO:0005783	NA
225	NA	NA
226	NA	NA
227	NA	NA
228	NA	NA
229	NA	NA
230	NA	NA
231	NA	NA
232	NA	NA
